feature,coef
topic_40,5.8779671072198045
topic_27,4.470066468832419
topic_32,3.84096157288982
topic_26,3.389445451948494
topic_30,2.730378865099165
topic_5,2.4900298554620366
topic_3,2.3601027268051165
topic_9,2.101328501593771
topic_46,2.0815203562770295
topic_43,2.042727667336157
topic_12,1.847540295563114
topic_45,1.7487252154067168
topic_0,1.5240193533724828
topic_4,1.505445638465061
topic_11,1.2509850197882968
topic_47,1.1654705476189617
topic_49,0.7103382368226687
topic_41,0.5482704703479389
topic_22,0.5416519285043918
topic_21,0.3309424739713164
topic_23,0.2941521359096335
topic_38,0.2571286208167342
topic_48,0.25618566274756716
topic_25,0.20950862788174857
topic_16,0.1390990033462645
topic_39,-0.07276186745799357
topic_33,-0.16130262015894278
topic_31,-0.1939716565425646
topic_34,-0.23245077863688643
topic_44,-0.24942111161972888
topic_24,-0.33318863440209323
topic_42,-0.3425889745410773
topic_10,-0.3600480141339565
topic_15,-0.5371696547148316
topic_6,-0.5394186216117718
topic_37,-0.5550722127399771
topic_36,-0.6018619217408866
topic_8,-0.6635695913484246
topic_35,-0.9870727287511165
topic_2,-1.0141218048339553
topic_19,-1.0564668610598127
topic_29,-1.2160991801743648
topic_28,-1.2856192597527776
topic_13,-1.3549641115052005
topic_17,-1.3836568199903767
topic_7,-1.757084752658422
topic_1,-2.133125084699176
topic_18,-2.2378661448888955
topic_20,-2.2509754269150024
topic_14,-2.8389308528806785
